item_id,type,title,date_or_deadline,time,person,priority,source_message_id
TASK_number001,task,Can you review the privacy checklist before 2026-09-09?,2026-09-09,,,low,MSG_0002
TASK_number002,task,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:00 in the city clinic,2026-09-16,11:00 ,,low,MSG_0003
TASK_number003,task,Can you help? Don't forget to pay the electricity bill; deadline is 2026-09-09.,2026-09-09,,,low,MSG_0010
MEETING_number004,meeting,"Just checking—Please join the internship orientation on 2026-09-18, 13:00 at Con",2026-09-18,13:00 ,,low,MSG_0011
TASK_number005,task,FYI: I will send the login details separately.,,,,low,MSG_0012
TASK_number006,task,Can you help? I need you to review the model results by 2026-09-03.,2026-09-03,,,low,MSG_0019
EVENT_number007,event,One more thing: The webinar recording is now available.,,,,low,MSG_0021
MEETING_number008,meeting,Just checking—I might prefer evening meetings now.,,,,low,MSG_0024
MEETING_number009,meeting,Please note: Please confirm the interview slot by 2026-09-05.,2026-09-05,,,low,MSG_0027
TASK_number010,task,For today: Don't forget to email the signed document; deadline is 2026-09-04.,2026-09-04,,,low,MSG_0028
TASK_number011,task,Important: Don't forget to upload the assignment; deadline is 2026-09-09.,2026-09-09,,,medium,MSG_0032
EVENT_number012,event,Just checking—The event registration desk opens at 9 AM.,,,,low,MSG_0033
MEETING_number013,meeting,"Please note: Please join the internship orientation on 2026-09-18, 9:00 at Confe",2026-09-18,9:00 ,,low,MSG_0034
TASK_number014,task,For today: Complete the onboarding form is due on 2026-09-10.,2026-09-10,,,low,MSG_0035
MEETING_number015,meeting,"Please join the study-group session on 2026-09-13, 12:00 at Google Meet.",2026-09-13,12:00 ,,low,MSG_0036
TASK_number016,task,One more thing: The review could be Friday afternoon.,,,,low,MSG_0037
TASK_number017,task,"For today: If possible, review the file before the meeting.",,,,low,MSG_0041
MEETING_number018,meeting,For today: The client discussion is scheduled for 2026-09-12 at 11:00 in Meeting,2026-09-12,11:00 ,,low,MSG_0042
TASK_number019,task,Just checking—Please complete the Python exercise by 2026-09-09.,2026-09-09,,,low,MSG_0044
TASK_number020,task,Important: Complete the onboarding form is due on 2026-09-07.,2026-09-07,,,medium,MSG_0045
TASK_number021,task,For today: Don't forget to call the service centre; deadline is 2026-09-09.,2026-09-09,,,low,MSG_0046
EVENT_number022,event,Important: The webinar recording is now available.,,,,medium,MSG_0050
TASK_number023,task,Important: Reminder: doctor appointment happens on 2026-09-16 at 15:00 in the ci,2026-09-16,15:00 ,,medium,MSG_0051
TASK_number024,task,Just checking—The review could be Friday afternoon.,,,,low,MSG_0054
MEETING_number025,meeting,The client discussion is scheduled for 2026-09-07 at 14:00 in Zoom.,2026-09-07,14:00 ,,low,MSG_0055
TASK_number026,task,Please note: Please call Maya when you are free.,,,Maya,low,MSG_0056
TASK_number027,task,Please note: I will send the login details separately.,,,,low,MSG_0057
TASK_number028,task,Quick update: Can you review the privacy checklist before 2026-09-04?,2026-09-04,,,low,MSG_0058
TASK_number029,task,Quick update: Complete the onboarding form is due on 2026-09-08.,2026-09-08,,,low,MSG_0060
MEETING_number030,meeting,"Please join the AI workshop on 2026-09-08, 15:00 at Conference Room 2.",2026-09-08,15:00 ,,low,MSG_0062
EVENT_number031,event,Can you help? The event registration desk opens at 9 AM.,,,,low,MSG_0064
TASK_number032,task,One more thing: Don't forget to email the signed document; deadline is 2026-09-0,2026-09-07,,,low,MSG_0065
TASK_number033,task,Can you help? The project review is scheduled for 2026-09-02 at 9:00 in Meeting ,2026-09-02,9:00 ,,low,MSG_0066
MEETING_number034,meeting,"FYI: Please join the AI workshop on 2026-09-13, 16:00 at Google Meet.",2026-09-13,16:00 ,,low,MSG_0067
MEETING_number035,meeting,"Hi, I might prefer evening meetings now.",,,,low,MSG_0084
TASK_number036,task,One more thing: Can you finish the test cases before 2026-09-08?,2026-09-08,,,low,MSG_0088
TASK_number037,task,Just checking—Don't forget to call the service centre; deadline is 2026-09-04.,2026-09-04,,,low,MSG_0089
EVENT_number038,event,Quick update: The event registration desk opens at 9 AM.,,,,low,MSG_0096
TASK_number039,task,Quick update: The review could be Friday afternoon.,,,,low,MSG_0098
TASK_number040,task,"Hi, Reminder: sprint planning happens on 2026-09-16 at 11:00 in the city clinic.",2026-09-16,11:00 ,,low,MSG_0100
TASK_number041,task,Don't forget to email the signed document; deadline is 2026-09-07.,2026-09-07,,,low,MSG_0101
TASK_number042,task,FYI: Can you send the revised presentation before 2026-09-08?,2026-09-08,,,low,MSG_0102
MEETING_number043,meeting,Important: Are you available for the technical interview at 16:00 on 2026-09-05?,2026-09-05,16:00 ,,medium,MSG_0103
TASK_number044,task,"FYI: If possible, review the file before the meeting.",,,,low,MSG_0110
TASK_number045,task,FYI: I need you to review the model results by 2026-09-10.,2026-09-10,,,low,MSG_0111
TASK_number046,task,Just checking—Can you send the revised presentation before 2026-09-04?,2026-09-04,,,low,MSG_0112
TASK_number047,task,Quick update: Prepare the demo video is due on 2026-09-09.,2026-09-09,,,low,MSG_0113
TASK_number048,task,Please complete the Python exercise by 2026-09-08.,2026-09-08,,,low,MSG_0114
TASK_number049,task,Quick update: Don't forget to call the service centre; deadline is 2026-09-07.,2026-09-07,,,low,MSG_0115
TASK_number050,task,Can you help? Send the expense receipt is due on 2026-09-08.,2026-09-08,,,low,MSG_0119
TASK_number051,task,"Hi, Please call Maya when you are free.",,,Maya,low,MSG_0121
TASK_number052,task,"Hi, Reminder: mentor catch-up happens on 2026-09-11 at 14:00 in the cafeteria.",2026-09-11,14:00 ,,low,MSG_0122
TASK_number053,task,Please note: Reminder: mentor catch-up happens on 2026-09-06 at 9:00 in the city,2026-09-06,9:00 ,,low,MSG_0124
TASK_number054,task,FYI: Reminder: doctor appointment happens on 2026-09-11 at 14:00 in the cafeteri,2026-09-11,14:00 ,,low,MSG_0127
TASK_number055,task,One more thing: The project review is scheduled for 2026-09-17 at 16:00 in Zoom.,2026-09-17,16:00 ,,low,MSG_0131
MEETING_number056,meeting,Important: Let us meet sometime next week.,,,,medium,MSG_0133
TASK_number057,task,Quick update: Reminder: mentor catch-up happens on 2026-09-21 at 16:00 in the ca,2026-09-21,16:00 ,,low,MSG_0135
TASK_number058,task,Prepare the demo video is due on 2026-09-05.,2026-09-05,,,low,MSG_0136
