message_id,category,confidence,reason
MSG_0001,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0002,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0003,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-16 at"
MSG_0004,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0005,Sensitive Information,0.99,Sensitive Information Detected : contact_or_address
MSG_0006,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0007,Promotional,0.85,"Promotional Language Detected by 2026-09-04 , Please reply"
MSG_0008,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0009,Personal Information,0.87,The message containes personal or profile related information
MSG_0010,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0011,Promotional,0.8,Promotional Language Detected Please join
MSG_0012,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0013,Sensitive Information,0.99,Sensitive Information Detected : payment_details
MSG_0014,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0015,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0016,Personal Information,0.77,The message containes personal or profile related information
MSG_0017,Promotional,0.85,"Promotional Language Detected by 2026-09-08 , need you to"
MSG_0018,Personal Information,0.77,The message containes personal or profile related information
MSG_0019,Promotional,0.85,"Promotional Language Detected by 2026-09-03 , need you to"
MSG_0020,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0021,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0022,Personal Information,0.77,The message containes personal or profile related information
MSG_0023,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0024,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0025,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0026,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0027,Promotional,0.8,Promotional Language Detected by 2026-09-05
MSG_0028,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0029,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0030,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0031,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0032,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0033,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0034,Promotional,0.8,Promotional Language Detected Please note: Please join
