message_id,sensitivity_type,risk,masked_text,recommended_action
MSG_0005,private_address,medium,"Hi, My home address is ******.",do_not_send_to_external_service
MSG_0013,bank_payment_details,high,One more thing: My card number is ****************.,do_not_store
MSG_0074,authentication_token,high,Just checking—The temporary access token is ******,do_not_store
MSG_0086,password,high,Use password ****** to sign in to the test account.,do_not_store
MSG_0095,password,high,Please note: Use password ****** to sign in to the test account.,do_not_store
MSG_0117,authentication_token,high,Please note: The temporary access token is ******,do_not_store
MSG_0130,private_address,medium,Can you help? My home address is ******.,do_not_send_to_external_service
MSG_0140,password,high,Can you help? Use password ****** to sign in to the test account.,do_not_store
MSG_0172,private_address,medium,Important: My home address is ******.,do_not_send_to_external_service
MSG_0199,private_address,medium,Quick update: My home address is ******.,do_not_send_to_external_service
MSG_0243,one_time_password,high,Just checking—Your OTP is ******-50. It expires in 10 minutes.,do_not_store
MSG_0254,bank_payment_details,high,For today: Please note my bank account number ****************.,do_not_store
MSG_0254,bank_payment_details,high,For today: Please note my bank account number ****************.,do_not_store
MSG_0257,bank_payment_details,high,FYI: Please note my bank account number ****************.,do_not_store
MSG_0257,bank_payment_details,high,FYI: Please note my bank account number ****************.,do_not_store
MSG_0267,bank_payment_details,high,Please note: Please note my bank account number ****************.,do_not_store
MSG_0267,bank_payment_details,high,Please note: Please note my bank account number ****************.,do_not_store
MSG_0273,one_time_password,high,Quick update: Your OTP is ******-20. It expires in 10 minutes.,do_not_store
MSG_0288,one_time_password,high,One more thing: Your OTP is ******-90. It expires in 10 minutes.,do_not_store
MSG_0344,password,high,"Hi, Use password ****** to sign in to the test account.",do_not_store
MSG_0346,password,high,Quick update: Use password ****** to sign in to the test account.,do_not_store
MSG_0351,authentication_token,high,Quick update: The temporary access token is ******,do_not_store
MSG_0352,bank_payment_details,high,Can you help? Please note my bank account number ****************.,do_not_store
MSG_0352,bank_payment_details,high,Can you help? Please note my bank account number ****************.,do_not_store
MSG_0367,bank_payment_details,high,"Hi, My card number is ****************.",do_not_store
MSG_0376,password,high,For today: Use password ****** to sign in to the test account.,do_not_store
MSG_0385,private_address,medium,My home address is ******.,do_not_send_to_external_service
MSG_0389,authentication_token,high,The temporary access token is ******,do_not_store
MSG_0397,bank_payment_details,high,Just checking—Please note my bank account number ****************.,do_not_store
MSG_0397,bank_payment_details,high,Just checking—Please note my bank account number ****************.,do_not_store
MSG_0419,bank_payment_details,high,Quick update: My card number is ****************.,do_not_store
MSG_0436,authentication_token,high,For today: The temporary access token is ******,do_not_store
MSG_0471,password,high,FYI: Use password ****** to sign in to the test account.,do_not_store
MSG_0475,private_address,medium,Just checking—My home address is ******.,do_not_send_to_external_service
MSG_0532,private_address,medium,For today: My home address is ******.,do_not_send_to_external_service
MSG_0535,private_address,medium,Please note: My home address is ******.,do_not_send_to_external_service
MSG_0539,private_address,medium,FYI: My home address is ******.,do_not_send_to_external_service
MSG_0572,authentication_token,high,Can you help? The temporary access token is ******,do_not_store
MSG_0591,authentication_token,high,"Hi, The temporary access token is ******",do_not_store
MSG_0595,one_time_password,high,Can you help? Your OTP is ******-80. It expires in 10 minutes.,do_not_store
MSG_0596,one_time_password,high,For today: Your OTP is ******-30. It expires in 10 minutes.,do_not_store
MSG_0604,one_time_password,high,FYI: Your OTP is ******-70. It expires in 10 minutes.,do_not_store
MSG_0610,bank_payment_details,high,Just checking—My card number is ****************.,do_not_store
MSG_0642,bank_payment_details,high,Important: Please note my bank account number ****************.,do_not_store
MSG_0642,bank_payment_details,high,Important: Please note my bank account number ****************.,do_not_store
MSG_0649,bank_payment_details,high,Can you help? My card number is ****************.,do_not_store
MSG_0681,bank_payment_details,high,Important: My card number is ****************.,do_not_store
MSG_0684,bank_payment_details,high,For today: My card number is ****************.,do_not_store
MSG_0687,authentication_token,high,Important: The temporary access token is ******,do_not_store
MSG_0715,authentication_token,high,FYI: The temporary access token is ******,do_not_store
MSG_0727,password,high,Just checking—Use password ****** to sign in to the test account.,do_not_store
MSG_0749,password,high,Important: Use password ****** to sign in to the test account.,do_not_store
MSG_0751,bank_payment_details,high,"Hi, Please note my bank account number ****************.",do_not_store
MSG_0751,bank_payment_details,high,"Hi, Please note my bank account number ****************.",do_not_store
MSG_0752,bank_payment_details,high,Please note my bank account number ******.,do_not_store
MSG_0777,password,high,One more thing: Use password ****** to sign in to the test account.,do_not_store
MSG_0778,authentication_token,high,One more thing: The temporary access token is ******,do_not_store
MSG_0791,one_time_password,high,Please note: Your OTP is ******-10. It expires in 10 minutes.,do_not_store
MSG_0802,private_address,medium,One more thing: My home address is ******.,do_not_send_to_external_service
MSG_0803,bank_payment_details,high,Please note: My card number is ****************.,do_not_store
MSG_0812,bank_payment_details,high,My card number is ****************.,do_not_store
MSG_0813,bank_payment_details,high,FYI: My card number is ****************.,do_not_store
MSG_0834,one_time_password,high,Your OTP is ******. It expires in 10 minutes.,do_not_store
MSG_0848,bank_payment_details,high,Quick update: Please note my bank account number ****************.,do_not_store
MSG_0848,bank_payment_details,high,Quick update: Please note my bank account number ****************.,do_not_store
MSG_0854,one_time_password,high,"Hi, Your OTP is ******-40. It expires in 10 minutes.",do_not_store
MSG_0880,one_time_password,high,Important: Your OTP is ******-60. It expires in 10 minutes.,do_not_store
MSG_0890,bank_payment_details,high,One more thing: Please note my bank account number ****************.,do_not_store
MSG_0890,bank_payment_details,high,One more thing: Please note my bank account number ****************.,do_not_store
